Date,popularityscore,Open,High,Low,Close,Volume,Adj Close
21-10-2013,24,329.890015,368.399994,323.799988,363.390015,5439500,363.390015
14-10-2013,16,309.220001,331.890015,305.23999,328.929993,2997800,328.929993
07-10-2013,8,315.23999,315.339996,296.5,310.890015,2643000,310.890015
30-09-2013,10,313.410004,322.920013,311.059998,319.040009,2145400,319.040009
23-09-2013,11,314.01001,319.369995,308.769989,316.01001,1914900,316.01001
16-09-2013,12,299.820007,320.570007,295.26001,316.339996,2940900,316.339996
09-09-2013,13,297.220001,302,296.200012,297.920013,1624200,297.920013
03-09-2013,10,284.730011,298.880005,284.170013,295.859985,2361200,295.859985
26-08-2013,11,290.429993,291.049988,279.329987,280.980011,1749100,280.980011
19-08-2013,11,285.190002,291.5,283.480011,290.01001,1852700,290.01001
12-08-2013,11,295.790009,299.079987,284.5,284.820007,1990600,284.820007
05-08-2013,13,303.399994,303.619995,292.549988,297.26001,2067300,297.26001
29-07-2013,13,311.070007,313,298.899994,304.209991,2726100,304.209991
22-07-2013,11,309.25,313.619995,295.549988,312.01001,4148800,312.01001
15-07-2013,10,307.269989,309.390015,301.869995,305.230011,2594400,305.230011
08-07-2013,12,286.420013,307.549988,286.140015,307.549988,3235800,307.549988
01-07-2013,9,279,286.579987,277.160004,285.880005,2371200,285.880005
24-06-2013,9,271.290009,280.200012,265,277.690002,3011100,277.690002
17-06-2013,8,276.350006,283.339996,269.790009,273.359985,3008500,273.359985
10-06-2013,10,276.679993,282.470001,270.290009,273.98999,2644700,273.98999
03-06-2013,12,268.959991,280.100006,262.950012,276.869995,3050700,276.869995
28-05-2013,8,266.480011,271.910004,264.839996,269.200012,2604000,269.200012
20-05-2013,12,269,271.790009,258.339996,261.73999,2195700,261.73999
13-05-2013,8,262.769989,269.980011,262,269.899994,2348100,269.899994
06-05-2013,9,258.089996,263.649994,252.910004,263.630005,2814600,263.630005
29-04-2013,11,254.899994,259.25,245.75,258.049988,4641400,258.049988
22-04-2013,13,259.350006,275.799988,252.809998,254.809998,5277800,254.809998
15-04-2013,8,271.079987,275.119995,256.600006,260.320007,2867600,260.320007
08-04-2013,9,255.919998,273.269989,255.630005,272.869995,2546300,272.869995
01-04-2013,8,266.980011,267.399994,253.669998,255.479996,2418300,255.479996
25-03-2013,10,258.579987,267.380005,254.5,266.48999,2570800,266.48999
18-03-2013,10,259.299988,261.48999,252.070007,257.75,3025700,257.75
11-03-2013,8,273.429993,277.399994,260.049988,261.820007,3425500,261.820007
04-03-2013,9,265.359985,276.679993,264.140015,274.190002,2601700,274.190002
25-02-2013,9,266.940002,268.690002,255.729996,265.73999,2982600,265.73999
19-02-2013,8,265.910004,274.299988,261.609985,265.420013,3286300,265.420013
11-02-2013,10,263.200012,270.649994,256.600006,265.089996,3816600,265.089996
04-02-2013,9,262.779999,268.029999,255.110001,261.950012,3672300,261.950012
28-01-2013,19,283.779999,284.480011,258.350006,265,8091300,265
22-01-2013,10,271.619995,284.720001,266.649994,283.98999,3257900,283.98999
14-01-2013,10,268,274.5,267.540009,272.119995,2698800,272.119995
07-01-2013,11,262.970001,269.730011,262.299988,267.940002,3092600,267.940002
31-12-2012,11,243.75,260.880005,242.75,259.149994,2828700,259.149994
